career_id (FK),certification_id (FK),frequency,weight
1,1,38,0.1267
1,2,44,0.1467
1,3,37,0.1233
1,4,31,0.1033
1,5,33,0.11
1,6,44,0.1467
1,7,41,0.1367
2,1,28,0.0875
2,2,41,0.1281
2,3,33,0.1031
2,4,34,0.1062
2,5,45,0.1406
2,6,50,0.1562
2,7,49,0.1531
3,1,38,0.1152
3,2,45,0.1364
3,3,37,0.1121
3,4,37,0.1121
3,5,41,0.1242
3,6,47,0.1424
3,7,48,0.1455
4,1,49,0.1546
4,2,43,0.1356
4,3,33,0.1041
4,4,37,0.1167
4,5,33,0.1041
4,6,49,0.1546
4,7,33,0.1041
5,1,43,0.1311
5,2,47,0.1433
5,3,37,0.1128
5,4,47,0.1433
5,5,35,0.1067
5,6,48,0.1463
5,7,34,0.1037
