career_id (FK),education_id (FK),frequency,weight
1,3,158,0.5215
1,5,145,0.4785
2,1,92,0.4792
2,2,25,0.1302
2,3,37,0.1927
2,4,5,0.026
2,5,33,0.1719
3,1,172,0.4738
3,2,40,0.1102
3,3,85,0.2342
3,4,13,0.0358
3,5,53,0.146
4,1,340,0.4539
4,2,78,0.1041
4,3,174,0.2323
4,4,33,0.0441
4,5,124,0.1656
5,1,112,0.4686
5,2,28,0.1172
5,3,53,0.2218
5,4,10,0.0418
5,5,36,0.1506
6,1,568,0.5749
6,2,68,0.0688
6,3,239,0.2419
6,4,65,0.0658
6,5,48,0.0486
7,1,209,0.4665
7,2,44,0.0982
7,3,114,0.2545
7,4,26,0.058
7,5,55,0.1228
8,1,311,0.458
8,2,69,0.1016
8,3,171,0.2518
8,4,36,0.053
8,5,92,0.1355
9,1,124,0.4382
9,2,23,0.0813
9,3,69,0.2438
9,4,17,0.0601
9,5,50,0.1767
10,1,91,0.4573
10,2,16,0.0804
10,3,52,0.2613
10,4,14,0.0704
10,5,26,0.1307
11,1,304,0.5197
11,3,281,0.4803
12,1,285,0.4179
12,2,78,0.1144
12,3,169,0.2478
12,4,37,0.0543
12,5,113,0.1657
13,1,266,0.4547
13,2,68,0.1162
13,3,147,0.2513
13,4,27,0.0462
13,5,77,0.1316
14,1,230,0.2434
14,2,368,0.3894
14,3,64,0.0677
14,4,227,0.2402
14,5,56,0.0593
15,1,220,0.3064
15,3,247,0.344
15,5,251,0.3496
16,1,489,1.0
17,1,600,1.0
18,1,103,0.4459
18,2,29,0.1255
18,3,48,0.2078
18,4,13,0.0563
18,5,38,0.1645
19,1,129,0.4558
19,2,27,0.0954
19,3,71,0.2509
19,4,10,0.0353
19,5,46,0.1625
20,1,89,0.466
20,2,22,0.1152
20,3,48,0.2513
20,4,11,0.0576
20,5,21,0.1099
21,1,302,0.4487
21,2,73,0.1085
21,3,168,0.2496
21,4,26,0.0386
21,5,104,0.1545
22,1,336,0.4398
22,2,78,0.1021
22,3,190,0.2487
22,4,37,0.0484
22,5,123,0.161
23,1,82,0.385
23,2,22,0.1033
23,3,58,0.2723
23,4,18,0.0845
23,5,33,0.1549
24,1,184,0.4612
24,2,44,0.1103
24,3,87,0.218
24,4,17,0.0426
24,5,67,0.1679
25,1,189,0.4565
25,3,225,0.5435
26,1,162,0.3092
26,2,184,0.3511
26,4,178,0.3397
27,1,166,0.4624
27,2,33,0.0919
27,3,82,0.2284
27,4,17,0.0474
27,5,61,0.1699
28,1,117,0.45
28,2,27,0.1038
28,3,63,0.2423
28,4,19,0.0731
28,5,34,0.1308
29,1,317,0.2759
29,2,62,0.054
29,3,372,0.3238
29,4,52,0.0453
29,5,346,0.3011
30,1,254,0.3613
30,3,227,0.3229
30,5,222,0.3158
31,1,296,0.4698
31,2,64,0.1016
31,3,152,0.2413
31,4,25,0.0397
31,5,93,0.1476
32,1,143,0.4583
32,2,34,0.109
32,3,66,0.2115
32,4,16,0.0513
32,5,53,0.1699
33,1,485,1.0
34,1,123,0.4786
34,2,22,0.0856
34,3,57,0.2218
34,4,13,0.0506
34,5,42,0.1634
35,1,151,0.4266
35,2,34,0.096
35,3,95,0.2684
35,4,20,0.0565
35,5,54,0.1525
36,1,134,0.4393
36,2,36,0.118
36,3,72,0.2361
36,4,19,0.0623
36,5,44,0.1443
37,1,280,0.6481
37,3,152,0.3519
38,1,276,0.4608
38,2,62,0.1035
38,3,155,0.2588
38,4,33,0.0551
38,5,73,0.1219
39,1,59,0.0569
39,2,52,0.0501
39,3,321,0.3095
39,4,66,0.0636
39,5,539,0.5198
40,1,169,0.4568
40,2,40,0.1081
40,3,85,0.2297
40,4,17,0.0459
40,5,59,0.1595
41,1,167,0.4217
41,2,47,0.1187
41,3,96,0.2424
41,4,17,0.0429
41,5,69,0.1742
42,1,167,0.4063
42,2,36,0.0876
42,3,124,0.3017
42,4,21,0.0511
42,5,63,0.1533
43,1,178,0.4373
43,2,41,0.1007
43,3,114,0.2801
43,4,16,0.0393
43,5,58,0.1425
44,1,565,0.5275
44,2,60,0.056
44,3,317,0.296
44,4,75,0.07
44,5,54,0.0504
45,1,516,0.6557
45,3,271,0.3443
46,1,191,0.4494
46,2,39,0.0918
46,3,113,0.2659
46,4,15,0.0353
46,5,67,0.1576
47,1,243,0.4629
47,2,54,0.1029
47,3,118,0.2248
47,4,29,0.0552
47,5,81,0.1543
48,1,228,0.4385
48,2,50,0.0962
48,3,138,0.2654
48,4,24,0.0462
48,5,80,0.1538
49,1,253,1.0
50,1,188,0.4541
50,2,39,0.0942
50,3,105,0.2536
50,4,21,0.0507
50,5,61,0.1473
