career_id (FK),skill_id (FK),frequency,weight
1,1,50,0.1667
1,2,51,0.17
1,3,63,0.21
1,4,76,0.2533
1,5,59,0.1967
1,6,54,0.18
1,7,81,0.27
1,8,53,0.1767
1,9,86,0.2867
1,10,64,0.2133
2,1,51,0.1594
2,2,67,0.2094
2,3,65,0.2031
2,4,80,0.25
2,5,49,0.1531
2,6,61,0.1906
2,7,70,0.2188
2,8,69,0.2156
2,9,81,0.2531
2,10,84,0.2625
3,1,63,0.1909
3,2,57,0.1727
3,3,54,0.1636
3,4,86,0.2606
3,5,50,0.1515
3,6,66,0.2
3,7,91,0.2758
3,8,53,0.1606
3,9,68,0.2061
3,10,95,0.2879
4,1,61,0.1924
4,2,64,0.2019
4,3,71,0.224
4,4,94,0.2965
4,5,72,0.2271
4,6,61,0.1924
4,7,64,0.2019
4,8,41,0.1293
4,9,85,0.2681
4,10,79,0.2492
5,1,61,0.186
5,2,59,0.1799
5,3,51,0.1555
5,4,72,0.2195
5,5,53,0.1616
5,6,62,0.189
5,7,80,0.2439
5,8,59,0.1799
5,9,97,0.2957
5,10,86,0.2622
