career_id (FK),specialization_id (FK),frequency,weight
1,4,303,1.0
2,1,5,0.026
2,2,11,0.0573
2,3,9,0.0469
2,4,69,0.3594
2,5,44,0.2292
2,6,14,0.0729
2,7,8,0.0417
2,8,32,0.1667
3,1,23,0.0634
3,2,37,0.1019
3,3,22,0.0606
3,4,126,0.3471
3,5,70,0.1928
3,6,14,0.0386
3,7,16,0.0441
3,8,55,0.1515
4,1,35,0.0467
4,2,77,0.1028
4,3,50,0.0668
4,4,251,0.3351
4,5,148,0.1976
4,6,38,0.0507
4,7,52,0.0694
4,8,98,0.1308
5,1,11,0.046
5,2,31,0.1297
5,3,14,0.0586
5,4,82,0.3431
5,5,48,0.2008
5,6,8,0.0335
5,7,11,0.046
5,8,34,0.1423
6,1,29,0.0294
6,2,383,0.3877
6,3,177,0.1791
6,4,252,0.2551
6,5,35,0.0354
6,6,37,0.0374
6,7,27,0.0273
6,8,48,0.0486
7,1,28,0.0625
7,2,50,0.1116
7,3,21,0.0469
7,4,149,0.3326
7,5,89,0.1987
7,6,24,0.0536
7,7,16,0.0357
7,8,71,0.1585
8,1,28,0.0412
8,2,62,0.0913
8,3,43,0.0633
8,4,238,0.3505
8,5,143,0.2106
8,6,38,0.056
8,7,26,0.0383
8,8,101,0.1487
9,1,7,0.0247
9,2,35,0.1237
9,3,18,0.0636
9,4,96,0.3392
9,5,52,0.1837
9,6,14,0.0495
9,7,14,0.0495
9,8,47,0.1661
10,1,6,0.0302
10,2,22,0.1106
10,3,13,0.0653
10,4,74,0.3719
10,5,36,0.1809
10,6,14,0.0704
10,7,8,0.0402
10,8,26,0.1307
11,4,585,1.0
12,1,40,0.0587
12,2,72,0.1056
12,3,27,0.0396
12,4,245,0.3592
12,5,141,0.2067
12,6,31,0.0455
12,7,28,0.0411
12,8,98,0.1437
13,1,30,0.0513
13,2,55,0.094
13,3,31,0.053
13,4,206,0.3521
13,5,120,0.2051
13,6,34,0.0581
13,7,29,0.0496
13,8,80,0.1368
14,1,23,0.0243
14,2,362,0.3831
14,3,347,0.3672
14,4,55,0.0582
14,5,55,0.0582
14,6,32,0.0339
14,7,31,0.0328
14,8,40,0.0423
15,4,718,1.0
16,4,236,0.4826
16,5,253,0.5174
17,4,322,0.5367
17,5,278,0.4633
18,1,8,0.0346
18,2,22,0.0952
18,3,16,0.0693
18,4,77,0.3333
18,5,51,0.2208
18,6,14,0.0606
18,7,8,0.0346
18,8,35,0.1515
19,1,11,0.0389
19,2,30,0.106
19,3,22,0.0777
19,4,105,0.371
19,5,49,0.1731
19,6,16,0.0565
19,7,15,0.053
19,8,35,0.1237
20,1,8,0.0419
20,2,24,0.1257
20,3,7,0.0366
20,4,67,0.3508
20,5,45,0.2356
20,6,8,0.0419
20,7,4,0.0209
20,8,28,0.1466
21,1,49,0.0728
21,2,58,0.0862
21,3,26,0.0386
21,4,217,0.3224
21,5,139,0.2065
21,6,39,0.0579
21,7,33,0.049
21,8,112,0.1664
22,1,29,0.038
22,2,71,0.0929
22,3,38,0.0497
22,4,266,0.3482
22,5,165,0.216
22,6,31,0.0406
22,7,42,0.055
22,8,122,0.1597
23,1,8,0.0376
23,2,20,0.0939
23,3,10,0.0469
23,4,82,0.385
23,5,46,0.216
23,6,6,0.0282
23,7,12,0.0563
23,8,29,0.1362
24,1,24,0.0602
24,2,44,0.1103
24,3,15,0.0376
24,4,141,0.3534
24,5,72,0.1805
24,6,25,0.0627
24,7,24,0.0602
24,8,54,0.1353
25,2,414,1.0
26,4,346,0.6603
26,8,178,0.3397
27,1,16,0.0446
27,2,28,0.078
27,3,16,0.0446
27,4,115,0.3203
27,5,93,0.2591
27,6,15,0.0418
27,7,19,0.0529
27,8,57,0.1588
28,1,13,0.05
28,2,27,0.1038
28,3,9,0.0346
28,4,93,0.3577
28,5,55,0.2115
28,6,17,0.0654
28,7,8,0.0308
28,8,38,0.1462
29,1,28,0.0244
29,2,39,0.0339
29,3,30,0.0261
29,4,873,0.7598
29,5,52,0.0453
29,6,37,0.0322
29,7,36,0.0313
29,8,54,0.047
30,4,703,1.0
31,1,29,0.046
31,2,60,0.0952
31,3,21,0.0333
31,4,227,0.3603
31,5,122,0.1937
31,6,35,0.0556
31,7,39,0.0619
31,8,97,0.154
32,1,14,0.0449
32,2,30,0.0962
32,3,22,0.0705
32,4,113,0.3622
32,5,62,0.1987
32,6,17,0.0545
32,7,15,0.0481
32,8,39,0.125
33,4,262,0.5402
33,5,223,0.4598
34,1,16,0.0623
34,2,25,0.0973
34,3,19,0.0739
34,4,87,0.3385
34,5,52,0.2023
34,6,16,0.0623
34,7,13,0.0506
34,8,29,0.1128
35,1,17,0.048
35,2,30,0.0847
35,3,18,0.0508
35,4,125,0.3531
35,5,66,0.1864
35,6,24,0.0678
35,7,16,0.0452
35,8,58,0.1638
36,1,16,0.0525
36,2,29,0.0951
