No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
1,PhD,Engineering,"Docker, R",Snowflake SnowPro,65,Data Engineer
2,Bachelor's,Computer Science,"Technical Writing, Analytical Thinking, Windows Server",PMI-ACP,74,Product Manager
3,Bachelor's,Business,"MongoDB, CentOS",IIBA CBAP,92,Business Analyst
4,Master's,Computer Science,"System Design, Jetpack Compose, MySQL, GitLab",AWS Certified Mobile,84,Mobile Developer (iOS / Android)
5,Intermediate,Commerce,"Flutter, Django, Go, C#",Google Associate Android Developer,91,Mobile Developer (iOS / Android)
6,Matric,Computer Science,"Accounting, Counseling, Python",,95,Data Entry Operator
7,Bachelor's,Computer Science,"PyTorch, Communication, Python",ITIL Foundation,78,Technical Writer
8,Master's,Finance,"Jira, Ruby, DNS",Google Professional Data Engineer,92,Data Engineer
9,Master's,Computer Science,"MongoDB, Kotlin, Laravel, Redis",Coursera ML Specialization,85,Data Scientist
10,PhD,Computer Science,"C#, Tableau",Google Data Analytics,84,Data Scientist
11,Bachelor's,Engineering,"SQL, Scala, CentOS, Jenkins",MySQL Certified,85,Database Administrator (DBA)
12,Bachelor's,Computer Science,"OSI Model, Redis, Kubernetes, Problem Solving",Microsoft Azure Solutions Architect,89,Solutions Architect
13,Bachelor's,Science,Accounting,Creative Writing,81,Business Analyst
14,Master's,Computer Science,"MySQL, CI/CD",AWS Security Specialty,62,Security Engineer
15,Bachelor's,Science,"Data Structures & Algorithms, PyTorch, Metasploit",NVIDIA Deep Learning,65,Computer Vision Engineer
16,Bachelor's,Engineering,"Scala, GitHub Actions, Redis",Microsoft SQL Server Certification,64,Database Administrator (DBA)
17,Intermediate,Engineering,"Python, Financial Analysis",Mental Health Basics,65,Software Engineer
18,Matric,Engineering,"React, Problem Solving, Flutter",Adobe Certified Professional,73,Product Designer
19,Intermediate,Engineering,"Flask, Analytical Thinking, SIEM",AWS Solutions Architect,85,Enterprise Architect
20,PhD,Engineering,"Git, GitHub Actions, CentOS",ISTQB Advanced,90,Automation Test Engineer
21,Master's,Engineering,"Ansible, React",Google Cloud Architect,64,Solutions Architect
22,Bachelor's,Science,"SQLite, CI/CD, Agile/Scrum",Selenium Certification,76,QA Engineer / Software Tester
23,Master's,Business,"Redis, Data Structures & Algorithms",AWS Certified Developer,87,Full Stack Developer
24,Master's,Computer Science,"Kubernetes, Flutter",AWS Certified Developer,79,Frontend Developer
25,Master's,Business,"React Native, Communication",Adobe Certified Professional,94,UI/UX Designer
26,Master's,Computer Science,"Azure, Jenkins, Wireshark, System Design",Google Professional ML Engineer,86,ML Engineer
27,Bachelor's,Engineering,"Scala, System Design",Hyperledger Fabric,89,Blockchain Developer
28,Matric,Computer Science,"GitHub, TCP/IP, Azure, Technical Writing",NVIDIA Deep Learning,64,Computer Vision Engineer
29,Master's,Business,"Scikit-learn, SQL",Microsoft Power BI,85,Business Analyst
30,Bachelor's,Computer Science,"C#, PostgreSQL, Problem Solving",Selenium Certification,76,QA Engineer / Software Tester
31,Intermediate,Engineering,"Accounting, Financial Analysis, Python",,93,Business Analyst
32,PhD,Computer Science,"PHP, Linux (Ubuntu), System Design, Jenkins",Coursera ML Specialization,77,ML Engineer
33,Bachelor's,Computer Science,"Data Structures & Algorithms, GraphQL",Google Data Analytics,93,Data Scientist
34,PhD,Computer Science,"Tableau, REST API, Kubernetes",Coursera ML Specialization,94,ML Engineer
35,Bachelor's,Business,Machine Learning,Tally ERP,62,Research Scientist
36,Bachelor's,Computer Science,"Spring Boot, Communication, HTML, React Native",PMI-ACP,91,Product Manager
37,Master's,Business,"Communication, GitLab",Scrum Master (CSM),79,IT Project Manager
38,PhD,Engineering,"Counseling, Financial Analysis, Marketing",Tally ERP,86,Data Entry Operator
39,Bachelor's,Engineering,"R, C#, REST API",GitHub Certified,80,Software Engineer / Developer
40,PhD,Computer Science,Counseling,Google Data Analytics,61,Research Scientist
41,Bachelor's,Engineering,"OOP, Firebase, GitHub Actions, GraphQL",Google Associate Cloud Engineer,73,Software Engineer
42,Master's,Computer Science,"Microservices, System Design, Design Patterns, Tableau",CompTIA Linux+,68,Firmware Engineer
43,Bachelor's,Engineering,"SQL, Azure, Notion, Linux (Ubuntu)",MySQL Certified,82,Database Administrator (DBA)
44,Master's,Computer Science,"PostgreSQL, Spring Boot",IBM Data Science Professional,81,Research Scientist
45,Bachelor's,Commerce,"Windows Server, Flutter, Firewall, CI/CD",Google IT Support,91,Data Entry Operator
46,Matric,Science,"Analytical Thinking, Next.js",IBM Business Analytics,93,Business Intelligence Analyst
47,Bachelor's,Engineering,"REST API, Elasticsearch",Google Associate Cloud Engineer,63,Software Engineer
48,Intermediate,Science,"Swift, Ruby, Ansible, Power BI",AWS DevOps,74,Automation Test Engineer
49,PhD,Science,"PHP, Google Cloud, Scala",Google Professional SRE,87,Site Reliability Engineer (SRE)
50,Bachelor's,Commerce,"PostgreSQL, Communication",PMI-PBA,65,Business Analyst
51,Bachelor's,Finance,"Kotlin/Java (Android), SIEM, Jira",Selenium Certification,81,QA Engineer / Software Tester
52,PhD,Computer Science,"DNS, Windows Server",Google Data Analytics,77,Data Scientist
53,Matric,Computer Science,"Firewall, Firebase, Redis",Google Data Analytics,64,Business Intelligence Analyst
54,Intermediate,Science,"Counseling, Python",CFA Level 1,92,Research Scientist
55,Master's,Engineering,"Financial Analysis, SQL",Creative Writing,79,Software Engineer
56,Intermediate,Science,"Ruby, React, GitHub Actions",freeCodeCamp Certification,87,Frontend Developer
57,Bachelor's,Computer Science,"Google Cloud, Java, PHP, Terraform",TensorFlow Developer Certificate,71,Machine Learning Engineer
58,Master's,Arts,Technical Writing,Certified Scrum Master (CSM),73,Scrum Master / Agile Coach
59,Master's,Computer Science,"Ruby, Cassandra",Google Professional ML Engineer,76,Research Scientist
60,Bachelor's,Psychology,"React Native, System Design, GraphQL, Technical Writing",Figma Professional,88,Product Designer
61,PhD,Computer Science,"Communication, MS Office, SQL",Mental Health Basics,81,Data Entry Operator
62,Master's,Science,"CI/CD, Linux (Ubuntu)",Google Cloud Professional,94,Cloud Engineer
63,Bachelor's,Engineering,"Kotlin, GraphQL",CompTIA Linux+,73,Embedded Systems Engineer
64,Bachelor's,Commerce,"Jira, CentOS, R, React Native",Cisco CCNA,94,Infrastructure Engineer
65,Bachelor's,Science,"Debian, HTTP/HTTPS",eJPT,63,Penetration Tester (Ethical Hacker)
66,Master's,Business,"Hadoop, Scikit-learn, SQLite",Microsoft Power BI,79,Business Analyst
67,Bachelor's,Computer Science,"Design Patterns, Flask, GitHub, CI/CD",Coursera ML Specialization,79,ML Engineer
68,Bachelor's,Business,"OOP, Next.js, HTTP/HTTPS",Scrum Master (CSM),89,IT Project Manager
69,Intermediate,Computer Science,"OOP, GraphQL, Problem Solving, Data Structures & Algorithms",AWS Solutions Architect Professional,64,Solutions Architect
70,Bachelor's,Engineering,"Linux (Ubuntu), Firewall, Bash/Shell Scripting",GCIA (GIAC),85,SOC Analyst
71,Master's,Computer Science,"CentOS, GitHub Actions, GraphQL",AWS Certified Machine Learning,78,ML Engineer
72,Matric,Psychology,"Python, Accounting",Mental Health Basics,68,Software Engineer
73,Bachelor's,Computer Science,"Problem Solving, Tableau",PostgreSQL Associate,70,Database Administrator (DBA)
74,PhD,Engineering,"Microservices, MySQL, Bash/Shell Scripting, Docker",AWS Certified Data Analytics,85,Data Engineer
75,Bachelor's,Arts,"Subnetting, Bash/Shell Scripting",STC Certification,61,Technical Writer
76,PhD,Computer Science,"Google Cloud, TypeScript, Tableau",AWS Certified Machine Learning,95,ML Engineer
77,Intermediate,Computer Science,"Kotlin/Java (Android), VPN",CompTIA A+,81,IT Support / Help Desk
78,Master's,Business,"Git, Notion, Terraform, Power BI",Scrum Master (CSM),79,IT Project Manager
79,Bachelor's,Finance,"OOP, Design Patterns, CI/CD, Subnetting",AWS Certified Developer,72,Backend Developer
80,Bachelor's,Engineering,"AWS, Design Patterns, Scikit-learn, Jira",Microsoft Azure Developer,61,Full Stack Developer
81,PhD,Computer Science,"Spring Boot, Linux (Ubuntu), Windows Server, Load Balancer",CompTIA Cloud+,61,Infrastructure Engineer
82,Bachelor's,Business,"Problem Solving, Django, Analytical Thinking",Figma Professional,91,Product Designer
83,Bachelor's,Commerce,"Java, Kotlin/Java (Android), Swift, Terraform",AWS Certified Data Analytics,68,Data Engineer
84,Intermediate,Finance,"CentOS, TypeScript, Flutter",Google Professional SRE,92,Site Reliability Engineer (SRE)
85,Bachelor's,Computer Science,"OWASP, DNS, Bash/Shell Scripting",Cisco CCNA,88,Network Engineer
86,Bachelor's,Commerce,"Problem Solving, Spark",Microsoft Office Specialist,61,Data Entry Operator
87,Master's,Computer Science,"OWASP, C++, Analytical Thinking",Google Professional ML Engineer,78,AI Research Scientist
88,Bachelor's,Psychology,"PyTorch, Confluence, VPN",freeCodeCamp Certification,76,Frontend Developer
89,Intermediate,Business,"CentOS, Spring Boot, Kali Linux, Laravel",CompTIA IT Fundamentals,66,Data Entry Operator
90,Bachelor's,Engineering,"Debian, Bash/Shell Scripting, NumPy",PostgreSQL Associate,76,Database Administrator (DBA)
91,Intermediate,Computer Science,"Microservices, Burp Suite",ISTQB Foundation,91,QA Engineer / Software Tester
92,Master's,Business,"TCP/IP, Flutter",Scrum Master (CSM),93,IT Project Manager
93,Master's,Computer Science,"PostgreSQL, CI/CD, Linux (Ubuntu)",Google Associate Cloud Engineer,70,Software Engineer / Developer
